DMS_id,rho_z,rho_u
A0A140D2T1_ZIKV_Sourisseau_2019,-0.014323517946339443,0.030454744587565377
A0A192B1T2_9HIV1_Haddox_2018,-0.02336790843204084,0.07081958715963647
A0A1I9GEU1_NEIME_Kennouche_2019,0.09551849768789261,-0.03772743522199121
A0A247D711_LISMN_Stadelmann_2021,0.12944553759298374,0.20167300695107285
A0A2Z5U3Z0_9INFA_Doud_2016,-0.053694033355732695,0.06812747523144691
A0A2Z5U3Z0_9INFA_Wu_2014,0.015116735498356184,0.0978370914414887
A4D664_9INFA_Soh_2019,-0.008841429440300084,0.08261553160800243
A4GRB6_PSEAI_Chen_2020,0.038726712124681976,0.16906665070500468
A4_HUMAN_Seuma_2022,-0.02355245872068206,0.06634556588184128
AACC1_PSEAI_Dandage_2018,-0.08061668083156144,0.009542235465318287
ACE2_HUMAN_Chan_2020,-0.03708058766848701,-0.0253850726494005
ADRB2_HUMAN_Jones_2020,-0.002949226013659204,0.10443080826275289
AICDA_HUMAN_Gajula_2014_3cycles,0.03131605236868395,0.11122955991377044
AMFR_HUMAN_Tsuboyama_2023_4G3O,0.008918691993078282,0.15554628937703133
AMIE_PSEAE_Wrenbeck_2017,0.09048334198827196,0.21504337238937135
ANCSZ_Hobbs_2022,-0.029058938174984436,0.1420688379877811
ARGR_ECOLI_Tsuboyama_2023_1AOY,0.11090180502353657,0.2869302336689227
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,0.2511319857182494,0.37091149352508024
BBC1_YEAST_Tsuboyama_2023_1TG0,0.07402171620915864,0.25542187295223573
BCHB_CHLTE_Tsuboyama_2023_2KRU,0.12064532961639926,0.21013368391940454
BLAT_ECOLX_Deng_2012,0.03801645495942675,0.1338361722545571
BLAT_ECOLX_Firnberg_2014,0.08097424988610256,0.23085408515986888
BLAT_ECOLX_Jacquier_2013,-0.01195818716939076,0.15089469721404034
BLAT_ECOLX_Stiffler_2015,0.047038461008399306,0.20272363583705358
BRCA1_HUMAN_Findlay_2018,-0.06857190507520694,0.10233328069811556
BRCA2_HUMAN_Erwood_2022_HEK293T,0.03804054670570708,0.023052922739823335
C6KNH7_9INFA_Lee_2018,0.05671826192531067,0.1588010005173421
CALM1_HUMAN_Weile_2017,-0.006477024996397496,0.025754098649468614
CAPSD_AAV2S_Sinai_2021,0.09248820174344803,0.17845207854318829
CAR11_HUMAN_Meitlis_2020_gof,0.05538676628964369,0.10726455316733711
CAR11_HUMAN_Meitlis_2020_lof,0.04032759007288104,0.16886147824251313
CAS9_STRP1_Spencer_2017_positive,-0.01933914746104528,-0.002380359289657221
CASP3_HUMAN_Roychowdhury_2020,-0.007479396099292049,0.15187424690705978
CASP7_HUMAN_Roychowdhury_2020,0.0029523630213572154,0.12784049785792728
CATR_CHLRE_Tsuboyama_2023_2AMI,0.058659766631876754,0.10166516374450393
CBPA2_HUMAN_Tsuboyama_2023_1O6X,0.13928628519663327,0.2991725761480054
CBS_HUMAN_Sun_2020,-0.026218554024722805,0.03693767827056235
CBX4_HUMAN_Tsuboyama_2023_2K28,-0.003613565830345605,0.13676012978832877
CCDB_ECOLI_Adkar_2012,0.0674972839672705,0.18067960961982577
CCDB_ECOLI_Tripathi_2016,0.027823412690699042,-0.07601240045866318
CCR5_HUMAN_Gill_2023,0.00409901776004838,0.044808930936627585
CD19_HUMAN_Klesmith_2019_FMC_singles,0.06377203048954418,0.048539405399138764
CP2C9_HUMAN_Amorosi_2021_abundance,0.06616002472015951,0.211146621405521
CP2C9_HUMAN_Amorosi_2021_activity,0.056955429556396917,0.2693203504441114
CSN4_MOUSE_Tsuboyama_2023_1UFM,0.015009012684220748,0.1989119130044742
CUE1_YEAST_Tsuboyama_2023_2MYX,0.09828714241016508,0.2248724242200034
D7PM05_CLYGR_Somermeyer_2022,0.15924330489579683,0.24024796020022254
DLG4_HUMAN_Faure_2021,0.10695213898761918,0.25722110191806014
DLG4_RAT_McLaughlin_2012,0.029771053312968844,0.16888867379410752
DN7A_SACS2_Tsuboyama_2023_1JIC,0.1847763333639653,0.23448094089756688
DNJA1_HUMAN_Tsuboyama_2023_2LO1,0.14811271706304754,0.2576363240573042
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.09071608018142498,0.24284367792419623
DYR_ECOLI_Nguyen_2023,0.01046948696799509,0.10421685436222823
DYR_ECOLI_Thompson_2019,-0.06931272015971669,-0.0030211134872426032
ENVZ_ECOLI_Ghose_2023,-0.02185598024790972,-0.033311412311254895
ENV_HV1B9_DuenasDecamp_2016,0.00775822138562087,0.08412220777360481
ENV_HV1BR_Haddox_2016,-0.03678414040371159,0.007559383024436514
EPHB2_HUMAN_Tsuboyama_2023_1F0M,0.05132282693351127,0.2436892748249881
ERBB2_HUMAN_Elazar_2016,-0.046467502743209224,0.02742925861476934
ESTA_BACSU_Nutschel_2020,0.04883300383982272,0.13875137548561314
F7YBW8_MESOW_Ding_2023,-0.02740271917487107,0.004617909048288796
FECA_ECOLI_Tsuboyama_2023_2D1U,0.1313519683908387,0.2777527345130164
FKBP3_HUMAN_Tsuboyama_2023_2KFV,0.09231960138997276,0.18585222285204692
GAL4_YEAST_Kitzman_2015,0.02876792142501132,0.10557496399576155
GDIA_HUMAN_Silverstein_2021,-0.030983829881254272,0.10176185526979588
GFP_AEQVI_Sarkisyan_2016,0.16433023679300088,0.2312015282557146
GLPA_HUMAN_Elazar_2016,-0.11143057529257606,-0.026948007306470394
GRB2_HUMAN_Faure_2021,0.04959374870735129,0.28786559199125733
HCP_LAMBD_Tsuboyama_2023_2L6Q,0.024493415820573156,0.2329615476863546
HECD1_HUMAN_Tsuboyama_2023_3DKM,-0.0109306558189038,0.11663297258827858
HEM3_HUMAN_Loggerenberg_2023,-0.05947843976610442,0.05375526675756737
HIS7_YEAST_Pokusaeva_2019,-0.07531344749216698,-0.04104301962431857
HMDH_HUMAN_Jiang_2019,-0.016552740053393352,0.0101884029286626
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,-0.010477671555449966,0.047722238647266185
HSP82_YEAST_Flynn_2019,-0.017616595535738907,0.06128376921623593
HSP82_YEAST_Mishra_2016,-0.09502807859808723,0.01728008609611424
HXK4_HUMAN_Gersing_2022_activity,-0.08301556148750114,0.02324748838971
HXK4_HUMAN_Gersing_2023_abundance,0.03447782571888234,0.04938451678911328
I6TAH8_I68A0_Doud_2015,-0.0014690034597881632,0.06905105521805467
IF1_ECOLI_Kelsic_2016,-0.07677873154186099,0.11079894744047852
ILF3_HUMAN_Tsuboyama_2023_2L33,0.05952193776426658,0.14012458839275516
ISDH_STAAW_Tsuboyama_2023_2LHR,0.1481976707894645,0.237589980977387
KCNE1_HUMAN_Muhammad_2023_expression,0.046112745660112364,0.023583933066258018
KCNE1_HUMAN_Muhammad_2023_function,0.004817755942618879,0.13492017768717365
KCNH2_HUMAN_Kozek_2020,-0.047801695042376066,0.05988599714992875
KCNJ2_MOUSE_Coyote-Maestas_2022_function,-0.04204870728265919,-0.010123051076078329
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,-0.008784951007518398,0.05932960745606809
KKA2_KLEPN_Melnikov_2014,-0.05260332327461059,0.09701180627692543
LGK_LIPST_Klesmith_2015,0.056873970600433046,0.1410481041495152
LYAM1_HUMAN_Elazar_2016,-0.12432086854131329,-0.023914971755808343
MAFG_MOUSE_Tsuboyama_2023_1K1V,0.19726959355002857,0.30660096965407974
MBD11_ARATH_Tsuboyama_2023_6ACV,0.021448065435689365,0.14824528311456694
MET_HUMAN_Estevam_2023,-0.04114341901657662,0.1080622134921523
MK01_HUMAN_Brenan_2016,-0.06001521524578089,-0.08380701438398902
MLAC_ECOLI_MacRae_2023,0.04184712689778735,0.08026701574202152
MSH2_HUMAN_Jia_2020,-0.0657939946777176,0.015622290362877276
MTH3_HAEAE_RockahShmuel_2015,0.038662286639931376,0.197586371411584
MTHR_HUMAN_Weile_2021,0.020264208675046615,0.09726386687044362
MYO3_YEAST_Tsuboyama_2023_2BTT,0.07810674243321665,0.2138473417432264
NCAP_I34A1_Doud_2015,0.005281564079592785,0.07698855522545227
NKX31_HUMAN_Tsuboyama_2023_2L9R,0.04204943646108464,0.23320786997305126
NPC1_HUMAN_Erwood_2022_HEK293T,-0.014615462022303894,0.08269372793517778
NPC1_HUMAN_Erwood_2022_RPE1,0.1459293394777266,0.13229646697388633
NRAM_I33A0_Jiang_2016,0.09111949555486175,0.21216565103346546
NUD15_HUMAN_Suiter_2020,0.013813943392982662,0.1384164842164862
NUSA_ECOLI_Tsuboyama_2023_1WCL,0.04686570996953097,0.17457806773052287
NUSG_MYCTU_Tsuboyama_2023_2MI6,0.06549170368898366,0.27893256803199135
OBSCN_HUMAN_Tsuboyama_2023_1V1C,0.11536544658606102,0.25144115888922625
ODP2_GEOSE_Tsuboyama_2023_1W4G,0.060760869607691136,0.13845434896675776
OPSD_HUMAN_Wan_2019,0.1450084150348623,0.2612614537974515
OTC_HUMAN_Lo_2023,0.10531327876240174,0.27908604105510376
OTU7A_HUMAN_Tsuboyama_2023_2L2D,0.06577711283797218,0.16188202804156795
OXDA_RHOTO_Vanella_2023_activity,0.03181621450884275,0.06850446722238654
OXDA_RHOTO_Vanella_2023_expression,0.08626223105084446,0.12305149237131414
P53_HUMAN_Giacomelli_2018_Null_Etoposide,-0.038136128960742866,0.04368122180619283
P53_HUMAN_Giacomelli_2018_Null_Nutlin,-0.039539609970439565,0.033851389230049204
P53_HUMAN_Giacomelli_2018_WT_Nutlin,-0.033643018878744116,0.027233257450960464
P53_HUMAN_Kotler_2018,0.0034285474856162075,0.11647217152247591
