DMS_id,in_gate_complete,auroc_raw_mean,auroc_rank_mean
NP_000007.1,True,0.4647058823529412,0.4764705882352941
NP_000008.1,True,0.9500000000000001,0.9500000000000001
NP_000009.1,True,0.9903381642512077,0.9806763285024155
NP_000010.1,True,1.0,1.0
NP_000011.2,True,0.9270967741935484,0.9299999999999999
NP_000012.1,True,0.75,0.75
NP_000013.2,True,1.0,0.9950738916256159
NP_000014.1,True,0.9857142857142858,1.0
NP_000017.1,True,0.87,0.89
NP_000018.2,False,1.0,1.0
NP_000021.1,True,0.9439393939393939,0.9545454545454546
NP_000023.2,True,0.9272727272727272,0.9272727272727272
NP_000024.2,True,0.9706475182665658,0.9703325774754347
NP_000026.2,False,0.8571428571428572,0.8571428571428572
NP_000028.3,False,0.9375,0.9375
NP_000034.1,True,1.0,1.0
NP_000035.2,True,0.907860824742268,0.9159149484536082
NP_000036.2,False,1.0,0.9230769230769231
NP_000037.2,True,0.8943533697632058,0.8961748633879781
NP_000038.2,True,0.8636363636363638,0.8598484848484849
NP_000039.2,True,0.9673076923076923,0.9663461538461539
NP_000040.1,True,0.9420849420849421,0.9536679536679536
NP_000041.2,True,0.9736842105263158,0.9802631578947368
NP_000043.4,True,0.9740566037735849,0.9737617924528302
NP_000044.2,True,0.9295617173524149,0.9294499105545617
NP_000045.1,True,0.9931818181818182,0.9909090909090909
NP_000048.1,True,1.0,1.0
NP_000052.1,True,0.9966832504145937,0.9966832504145937
NP_000053.2,True,0.9949494949494949,0.9924242424242424
NP_000055.2,False,0.8214285714285714,0.8928571428571429
NP_000060.2,True,0.9344758064516129,0.9362399193548386
NP_000061.1,True,0.9107981220657277,0.9287949921752738
NP_000062.1,False,0.9870689655172413,0.9913793103448276
NP_000065.1,True,1.0,1.0
NP_000067.1,False,1.0,1.0
NP_000068.1,True,1.0,1.0
NP_000070.1,False,1.0,1.0
NP_000071.1,True,0.989010989010989,0.9917582417582418
NP_000074.3,True,0.9785714285714285,0.9803571428571428
NP_000076.2,True,1.0,1.0
NP_000078.3,False,0.9428571428571428,0.9428571428571428
NP_000079.2,True,0.9899773170860368,0.9834889486733133
NP_000080.2,True,0.9960424536787192,0.9960424536787192
NP_000081.2,True,0.9984463002524762,0.9978636628471548
NP_000082.2,True,0.9966460723742276,0.9969991173874668
NP_000083.3,True,0.9920833333333334,0.9908333333333332
NP_000084.3,True,0.9701327433628318,0.9657079646017699
NP_000086.2,True,0.9455445544554455,0.9405940594059405
NP_000087.2,True,1.0,1.0
NP_000088.3,False,1.0,1.0
NP_000089.1,True,0.8779761904761905,0.8720238095238095
NP_000093.1,True,1.0,1.0
NP_000095.2,True,0.9920634920634921,0.9920634920634921
NP_000099.2,False,1.0,1.0
NP_000102.1,True,1.0,1.0
NP_000103.2,True,0.9313725490196079,0.9313725490196079
NP_000107.1,True,1.0,1.0
NP_000108.1,False,1.0,1.0
NP_000114.3,True,0.8799999999999999,0.87
NP_000115.1,True,0.9940476190476191,0.9940476190476191
NP_000118.2,True,0.9978354978354979,0.9956709956709957
NP_000119.1,True,0.8857142857142857,0.8857142857142857
NP_000120.2,False,1.0,1.0
NP_000121.2,True,1.0,1.0
NP_000122.1,True,0.9833333333333334,0.9833333333333334
NP_000124.1,True,0.9338541666666667,0.9333333333333333
NP_000126.2,True,0.940379403794038,0.9397986837011226
NP_000127.2,False,0.9722222222222222,0.9166666666666666
NP_000128.1,True,0.9090909090909091,0.9136363636363637
NP_000131.2,False,0.9142857142857143,0.8857142857142857
NP_000132.3,True,0.9910714285714286,0.9857142857142858
NP_000134.2,True,0.9931129476584023,0.9931129476584023
NP_000138.2,False,1.0,1.0
NP_000142.2,True,0.9466666666666668,0.9600000000000001
NP_000143.2,True,0.9741784037558685,0.9761345852895149
NP_000144.2,True,0.9625506072874495,0.9665991902834008
NP_000147.1,True,0.9912280701754386,0.9824561403508772
NP_000149.4,True,0.9957983193277311,0.9957983193277311
NP_000150.1,True,0.8507462686567164,0.8694029850746269
NP_000153.1,False,1.0,1.0
NP_000154.1,False,1.0,0.9444444444444444
NP_000156.1,True,1.0,1.0
NP_000157.1,True,1.0,1.0
NP_000159.3,True,0.9441747572815534,0.9429611650485437
NP_000160.1,True,0.965,0.9665
NP_000161.2,True,0.9821052631578947,0.9813157894736841
NP_000162.2,True,1.0,1.0
NP_000164.5,True,0.9407894736842105,0.9375
NP_000166.2,False,0.6388888888888888,0.5972222222222222
NP_000168.1,True,0.9655172413793103,0.9482758620689655
NP_000170.1,True,0.9819688109161794,0.9800194931773879
NP_000171.1,True,0.9802371541501975,0.9782608695652173
NP_000172.2,False,1.0,1.0
NP_000173.2,True,1.0,1.0
NP_000174.1,False,1.0,1.0
NP_000177.2,True,0.9619047619047619,0.9619047619047619
NP_000178.2,True,0.9870129870129871,0.9870129870129871
NP_000179.2,False,0.9375,0.96875
NP_000181.2,False,0.9636363636363637,0.9606060606060606
NP_000183.2,True,0.9014423076923077,0.9062500000000001
NP_000184.1,False,0.96875,0.96875
NP_000185.1,True,0.9523809523809523,0.9047619047619048
NP_000186.2,True,0.9111111111111112,0.9
NP_000188.1,False,0.9722222222222222,0.9722222222222222
NP_000189.1,False,0.8333333333333334,0.8333333333333334
NP_000190.1,True,0.9201680672268907,0.9243697478991596
NP_000194.2,True,0.937048503611971,0.9313725490196079
NP_000197.1,True,0.9848484848484849,0.9848484848484849
NP_000198.1,True,1.0,1.0
NP_000199.2,False,0.984375,0.984375
NP_000202.3,True,0.97,0.965
NP_000203.2,True,0.9509090909090909,0.9563636363636363
NP_000205.1,True,0.9440993788819876,0.9464285714285714
NP_000206.2,True,0.9489795918367347,0.951530612244898
NP_000207.2,True,0.9882352941176471,0.9705882352941176
NP_000208.2,False,1.0,1.0
NP_000209.2,True,0.9983957219251336,0.9978609625668449
NP_000211.1,False,0.9393939393939394,0.9242424242424242
NP_000213.1,False,1.0,1.0
NP_000217.2,False,0.888888888888889,0.888888888888889
NP_000219.2,True,0.9724137931034482,0.9448275862068966
NP_000220.1,False,0.9753086419753085,0.9753086419753085
NP_000224.2,False,0.9886363636363636,1.0
NP_000226.2,True,1.0,1.0
NP_000228.1,True,0.9656862745098039,0.9705882352941176
NP_000229.1,False,0.9466426858513189,0.9469424460431655
NP_000239.1,False,1.0,1.0
NP_000240.1,True,0.9324324324324323,0.93628003003003
NP_000242.1,False,0.9005510364733667,0.9018367882445553
NP_000243.1,True,0.9814814814814815,0.9832451499118166
NP_000244.2,False,1.0,1.0
NP_000245.2,False,1.0,1.0
NP_000246.2,True,1.0,1.0
NP_000247.2,True,0.9236812570145903,0.9135802469135802
NP_000248.2,True,0.8653686826843413,0.8620546810273405
NP_000251.3,True,0.96484289167216,0.9678092726873214
NP_000252.1,True,0.97,0.9790000000000001
NP_000254.2,True,0.9802371541501975,0.9683794466403162
NP_000255.2,True,0.9753061224489795,0.9731632653061224
NP_000257.1,False,1.0,1.0
NP_000261.2,False,1.0,1.0
NP_000262.2,False,0.9697916666666667,0.9684895833333332
NP_000263.2,False,0.875,0.875
NP_000264.2,True,0.9285714285714286,0.9132653061224489
NP_000265.1,False,1.0,1.0
NP_000266.2,True,0.9760683760683762,0.9807692307692308
NP_000267.2,True,0.9863945578231292,0.9841269841269841
NP_000268.1,True,0.9534005037783375,0.9584382871536523
NP_000269.3,False,1.0,1.0
NP_000273.2,True,1.0,1.0
NP_000274.3,True,0.9625,0.9583333333333334
NP_000275.1,True,0.9803921568627451,0.9784313725490196
NP_000276.2,False,0.9615384615384616,0.9903846153846154
NP_000278.3,True,0.8144796380090498,0.8235294117647058
NP_000279.1,False,1.0,1.0
NP_000282.1,False,0.8333333333333334,0.8541666666666666
NP_000283.1,True,0.9835390946502057,0.9825102880658436
NP_000286.3,True,0.8974358974358974,0.9043392504930967
NP_000288.1,True,0.993006993006993,1.0
NP_000292.1,False,0.0,0.0
NP_000293.2,False,0.9642857142857143,0.9642857142857143
NP_000294.1,True,0.9396551724137931,0.9396551724137931
NP_000295.1,True,1.0,0.9807692307692308
NP_000300.1,False,1.0,1.0
NP_000301.1,True,1.0,1.0
NP_000302.1,False,0.8205128205128205,0.8461538461538463
NP_000303.1,True,0.9468085106382979,0.9680851063829787
NP_000308.1,True,0.07692307692307693,0.07692307692307693
NP_000312.2,True,0.8420542635658914,0.8381782945736433
NP_000313.2,True,0.924908424908425,0.9084249084249084
NP_000316.2,False,1.0,1.0
NP_000320.1,True,0.8279569892473118,0.8494623655913979
NP_000321.1,True,0.9706959706959708,0.9865689865689866
NP_000325.4,True,0.980533525594809,0.976928622927181
NP_000327.2,False,0.8363636363636364,0.8818181818181818
NP_000329.2,False,0.9629629629629629,0.9444444444444444
NP_000332.2,False,1.0,1.0
NP_000333.1,True,0.9933110367892977,0.9966555183946488
NP_000334.1,False,1.0,1.0
NP_000337.1,True,0.9895833333333333,0.9895833333333333
NP_000340.2,False,1.0,0.9545454545454546
NP_000341.2,True,0.9650127877237852,0.9663427109974425
NP_000343.2,True,0.9530132788559755,0.95097037793667
NP_000349.1,False,0.6805555555555555,0.6458333333333334
NP_000350.1,True,0.9890350877192982,0.9904970760233919
NP_000354.4,True,0.9393939393939394,0.9242424242424242
NP_000359.1,True,0.983729662077597,0.9815394242803505
NP_000360.2,True,0.9090909090909091,0.9090909090909091
NP_000362.1,True,0.7160493827160495,0.7016460905349794
NP_000363.1,True,0.9545454545454545,0.9659090909090908
NP_000365.3,False,1.0,1.0
NP_000366.1,False,0.9285714285714286,0.9285714285714286
NP_000368.1,True,0.9777777777777777,0.9796296296296295
NP_000372.1,False,0.742857142857143,0.742857142857143
NP_000373.1,True,1.0,1.0
NP_000374.1,True,0.9625668449197861,0.9705882352941175
NP_000381.1,True,0.8620689655172413,0.8620689655172413
NP_000382.3,True,0.9607843137254902,0.9656862745098039
NP_000383.2,True,0.9789473684210527,0.9894736842105264
NP_000384.2,True,0.9546027742749054,0.9407313997477933
