DMS_id,n,auroc_uniform,auroc_biogate,auroc_best,label_rate
NP_000007.1,87,0.3411764705882353,0.35882352941176465,0.5588235294117647,0.9770114942528736
NP_000008.1,26,0.725,0.9166666666666667,0.9166666666666667,0.7692307692307693
NP_000009.1,75,0.9178743961352658,0.9782608695652174,0.9951690821256038,0.92
NP_000010.1,47,1.0,1.0,1.0,0.9148936170212766
NP_000011.2,165,0.8348387096774195,0.9225806451612903,0.9225806451612903,0.9393939393939394
NP_000012.1,99,0.7263157894736842,0.7552631578947369,0.7842105263157895,0.9595959595959596
NP_000013.2,36,0.9704433497536946,1.0,1.0,0.8055555555555556
NP_000014.1,37,0.8571428571428572,0.8428571428571429,0.9285714285714286,0.9459459459459459
NP_000017.1,29,0.6,0.73,0.91,0.8620689655172413
NP_000021.1,71,0.9651515151515152,0.9363636363636363,0.9696969696969697,0.8450704225352113
NP_000023.2,26,0.9575757575757575,0.9212121212121213,0.9212121212121213,0.5769230769230769
NP_000024.2,201,0.936381960191484,0.9627110103300579,0.9649785840262031,0.7313432835820896
NP_000034.1,21,0.975,1.0,1.0,0.7619047619047619
NP_000035.2,113,0.9130154639175259,0.9027061855670103,0.9117268041237113,0.8584070796460177
NP_000037.2,70,0.8214936247723132,0.8269581056466302,0.9071038251366119,0.8714285714285714
NP_000038.2,35,0.7575757575757576,0.8106060606060606,0.8712121212121212,0.3142857142857143
NP_000039.2,73,0.9673076923076923,0.9673076923076923,0.976923076923077,0.8904109589041096
NP_000040.1,44,0.8880308880308881,0.9073359073359074,0.9613899613899614,0.8409090909090909
NP_000041.2,42,0.8355263157894737,0.9210526315789473,0.9868421052631579,0.9047619047619048
NP_000043.4,191,0.8311713836477987,0.9235455974842768,0.9671776729559749,0.16753926701570682
NP_000044.2,198,0.9134615384615385,0.9432021466905188,0.9432021466905188,0.8686868686868687
NP_000045.1,42,0.9409090909090909,0.9909090909090909,0.9909090909090909,0.5238095238095238
NP_000048.1,32,1.0,0.9910714285714286,1.0,0.125
NP_000052.1,76,0.9867330016583747,0.9966832504145937,0.9966832504145937,0.881578947368421
NP_000053.2,49,0.9663299663299663,0.9814814814814814,0.9848484848484849,0.5510204081632653
NP_000060.2,140,0.8346774193548387,0.9027217741935484,0.938508064516129,0.11428571428571428
NP_000061.1,80,0.8763693270735524,0.8622848200312988,0.9499217527386542,0.8875
NP_000065.1,34,0.8083333333333333,1.0,1.0,0.7058823529411765
NP_000068.1,37,0.9696969696969697,0.9696969696969697,0.9924242424242424,0.8918918918918919
NP_000071.1,33,0.9175824175824175,0.9835164835164836,0.989010989010989,0.7878787878787878
NP_000074.3,86,0.9544642857142858,0.9553571428571429,0.9875,0.813953488372093
NP_000076.2,35,0.9600000000000001,0.9760000000000001,0.984,0.2857142857142857
NP_000079.2,338,0.9175502452919766,0.9776863427757556,0.977950097589281,0.7899408284023669
NP_000080.2,344,0.961863644540385,0.9890268033819033,0.9944234574563771,0.9505813953488372
NP_000081.2,290,0.9743639541658575,0.9990289376577977,0.9990289376577977,0.9344827586206896
NP_000082.2,158,0.9791703442188879,0.9931156222418358,0.995233892321271,0.6518987341772152
NP_000083.3,139,0.974375,0.9833333333333334,0.98375,0.539568345323741
NP_000084.3,137,0.790929203539823,0.9207227138643067,0.9572271386430679,0.17518248175182483
NP_000086.2,113,0.9224422442244224,0.9026402640264026,0.95503300330033,0.8938053097345132
NP_000087.2,20,0.9066666666666667,0.9466666666666667,1.0,0.25
NP_000089.1,38,0.8005952380952381,0.8541666666666666,0.8601190476190477,0.631578947368421
NP_000093.1,32,0.9833333333333334,1.0,1.0,0.9375
NP_000095.2,25,0.9920634920634921,1.0,1.0,0.72
NP_000102.1,22,0.9647058823529412,1.0,1.0,0.22727272727272727
NP_000103.2,23,0.9215686274509804,0.9215686274509804,0.9803921568627452,0.7391304347826086
NP_000107.1,20,1.0,1.0,1.0,0.95
NP_000114.3,25,0.58,0.74,0.9,0.2
NP_000115.1,55,0.9672619047619047,0.9880952380952381,1.0,0.12727272727272726
NP_000118.2,47,0.841991341991342,0.9567099567099567,0.9935064935064934,0.7021276595744681
NP_000119.1,33,0.8071428571428572,0.8857142857142857,0.8857142857142857,0.8484848484848485
NP_000121.2,40,0.9771428571428571,1.0,1.0,0.125
NP_000122.1,29,0.9583333333333334,1.0,1.0,0.8275862068965517
NP_000124.1,116,0.8734375,0.9125000000000001,0.9322916666666666,0.8275862068965517
NP_000126.2,104,0.589237320944638,0.6929926442121563,0.9411536972512582,0.3942307692307692
NP_000128.1,27,0.7909090909090909,0.8272727272727273,0.8909090909090909,0.8148148148148148
NP_000132.3,78,0.9571428571428572,0.9982142857142857,0.9982142857142857,0.8974358974358975
NP_000134.2,127,0.9724517906336088,0.9944903581267218,0.9944903581267218,0.952755905511811
NP_000142.2,53,0.7333333333333334,0.8866666666666666,0.9866666666666667,0.9433962264150944
NP_000143.2,160,0.9033646322378717,0.949530516431925,0.9733959311424101,0.8875
NP_000144.2,89,0.7449392712550608,0.8522267206477733,0.9645748987854251,0.8539325842696629
NP_000147.1,25,0.7894736842105263,0.8596491228070174,1.0,0.76
NP_000149.4,31,0.9327731092436975,0.9243697478991597,1.0,0.5483870967741935
NP_000150.1,138,0.7798507462686567,0.7332089552238806,0.9235074626865671,0.9710144927536232
NP_000156.1,24,0.8260869565217391,0.8260869565217391,1.0,0.9583333333333334
NP_000157.1,116,0.9441964285714286,0.9709821428571428,1.0,0.9655172413793104
NP_000159.3,111,0.858009708737864,0.9526699029126213,0.9526699029126213,0.07207207207207207
NP_000160.1,205,0.874,0.9380000000000001,0.98,0.975609756097561
NP_000161.2,119,0.9289473684210526,0.9536842105263158,0.9736842105263158,0.8403361344537815
NP_000162.2,37,0.967948717948718,0.9935897435897436,1.0,0.6486486486486487
NP_000164.5,27,0.9210526315789473,0.9473684210526316,0.9539473684210527,0.7037037037037037
NP_000168.1,32,0.9655172413793104,0.9540229885057472,0.9540229885057472,0.09375
NP_000170.1,92,0.962962962962963,0.9653996101364523,0.9805068226120858,0.41304347826086957
NP_000171.1,34,0.8142292490118577,0.9011857707509882,0.9802371541501976,0.6764705882352942
NP_000173.2,23,1.0,1.0,1.0,0.43478260869565216
NP_000177.2,22,0.5523809523809524,0.8571428571428572,0.9904761904761905,0.3181818181818182
NP_000178.2,40,0.9480519480519481,0.9696969696969697,0.9956709956709957,0.825
NP_000183.2,42,0.8774038461538461,0.8966346153846154,0.9086538461538461,0.38095238095238093
NP_000185.1,22,0.3333333333333333,0.7142857142857143,0.9523809523809523,0.9545454545454546
NP_000186.2,21,0.7,0.8,0.9333333333333333,0.2857142857142857
NP_000190.1,59,0.8431372549019608,0.865546218487395,0.9173669467787116,0.711864406779661
NP_000194.2,74,0.7946336429308565,0.892672858617131,0.9370485036119711,0.7702702702702703
NP_000197.1,65,0.944128787878788,0.9659090909090909,0.9734848484848485,0.5076923076923077
NP_000198.1,23,0.5454545454545454,1.0,1.0,0.9565217391304348
NP_000202.3,20,0.72,1.0,1.0,0.5
NP_000203.2,65,0.88,0.9036363636363636,0.9545454545454545,0.8461538461538461
NP_000205.1,79,0.7608695652173914,0.9270186335403727,0.9503105590062111,0.2911392405063291
NP_000206.2,28,0.8673469387755102,0.8877551020408163,0.9489795918367346,0.5
NP_000207.2,22,0.9176470588235295,1.0,1.0,0.22727272727272727
NP_000209.2,197,0.9625668449197862,0.9855614973262032,0.9989304812834225,0.949238578680203
NP_000219.2,34,0.8413793103448276,0.9655172413793103,0.9655172413793103,0.14705882352941177
NP_000226.2,41,0.9459459459459459,1.0,1.0,0.9024390243902439
NP_000228.1,40,0.9558823529411763,0.946078431372549,0.9901960784313726,0.85
NP_000240.1,184,0.8246996996996997,0.8909534534534534,0.9275525525525526,0.8043478260869565
NP_000243.1,75,0.9109347442680776,0.955026455026455,0.9735449735449735,0.72
NP_000246.2,108,0.9812500000000001,0.99375,1.0,0.9259259259259259
NP_000247.2,60,0.8372615039281707,0.9135802469135803,0.9135802469135803,0.55
NP_000248.2,301,0.8548053024026512,0.865990057995029,0.865990057995029,0.9435215946843853
NP_000251.3,152,0.7829048560755877,0.899362777411558,0.9483629971434848,0.7302631578947368
NP_000252.1,45,0.964,0.9359999999999999,0.98,0.5555555555555556
NP_000254.2,80,0.8669301712779973,0.9249011857707511,0.9934123847167324,0.8625
NP_000255.2,175,0.759795918367347,0.9430612244897959,0.9622448979591837,0.2
NP_000264.2,21,0.8061224489795918,0.8673469387755102,0.9183673469387754,0.3333333333333333
NP_000266.2,69,0.9196581196581196,0.9589743589743589,0.9743589743589745,0.5652173913043478
NP_000267.2,42,0.9365079365079365,0.981859410430839,0.9931972789115646,0.5
NP_000268.1,399,0.8551637279596978,0.9005037783375315,0.9899244332493703,0.9949874686716792
NP_000273.2,35,0.8981481481481481,0.9444444444444444,1.0,0.7714285714285715
NP_000274.3,32,0.9208333333333334,0.9583333333333334,0.9583333333333334,0.625
NP_000275.1,61,0.8980392156862745,0.9627450980392157,0.9843137254901961,0.8360655737704918
NP_000278.3,30,0.7104072398190044,0.7963800904977375,0.8416289592760181,0.43333333333333335
NP_000283.1,45,0.7839506172839505,0.9176954732510287,0.9835390946502057,0.4
NP_000286.3,52,0.7258382642998028,0.8205128205128205,0.9329388560157791,0.25
NP_000288.1,24,0.8601398601398601,0.923076923076923,1.0,0.5416666666666666
NP_000294.1,60,0.5258620689655172,0.8103448275862069,0.9568965517241379,0.9666666666666667
NP_000295.1,29,0.9871794871794872,0.9871794871794872,1.0,0.896551724137931
NP_000301.1,25,0.893939393939394,1.0,1.0,0.88
NP_000303.1,49,0.9042553191489362,0.9893617021276595,0.9893617021276595,0.9591836734693877
NP_000308.1,27,0.038461538461538464,0.11538461538461539,0.8076923076923077,0.9629629629629629
NP_000312.2,67,0.7267441860465116,0.8013565891472868,0.8081395348837209,0.3582089552238806
NP_000313.2,85,0.7600732600732601,0.9358974358974358,0.9358974358974358,0.9176470588235294
NP_000320.1,65,0.7150537634408602,0.8225806451612903,0.903225806451613,0.9538461538461539
NP_000321.1,100,0.6410256410256411,0.8705738705738706,0.9658119658119658,0.91
NP_000325.4,92,0.8997837058399424,0.9516943042537851,0.9899062725306416,0.7934782608695652
NP_000333.1,36,0.9933110367892977,0.9899665551839465,0.9933110367892977,0.6388888888888888
NP_000337.1,50,0.7552083333333334,0.8854166666666667,0.9565972222222222,0.64
NP_000341.2,448,0.8901278772378517,0.9067007672634272,0.967774936061381,0.9486607142857143
NP_000343.2,100,0.8610827374872319,0.9141981613891725,0.9346271705822268,0.89
NP_000350.1,81,0.9320175438596491,0.9269005847953216,0.9956140350877193,0.7037037037037037
