UniProt_ID,n_residues,n_mutations,rho_D_plddt,rho_De_plddt,rho_Ds_plddt,tau_De_plddt
A0A140D2T1_ZIKV,214,4066,-0.06169484655983958,-0.029588963266386364,-0.030531201145650753,-0.01856729141460068
A0A192B1T2_9HIV1,662,12577,-0.09152706558259184,-0.37482329985156326,-0.24121537749692,-0.2508755011256113
A0A1I9GEU1_NEIME,161,922,0.12994534270176825,0.18848465634877135,0.2967942483011818,0.12496602836941804
A0A247D711_LISMN,87,1653,0.08652702660409511,-0.018763470013463072,-0.1652534071025446,-0.010696618055353905
A0A2Z5U3Z0_9INFA,564,13065,-0.1039458548459862,-0.13271112431488757,-0.16511735631117258,-0.08993570928197281
A4D664_9INFA,759,14421,-0.0429976999696498,-0.030267226513988794,-0.0672329977600478,-0.019972843931177143
A4GRB6_PSEAI,266,5004,-0.19749780929643637,-0.13357745307070829,-0.021538682406134487,-0.08335073768926565
AACC1_PSEAI,161,1801,-0.03909245800723694,0.14198891456275248,0.25863796815527634,0.09776953773770405
ACE2_HUMAN,117,2223,-0.1230255664926544,-0.13541541783081587,-0.07380709747861533,-0.08949503587457924
ADRB2_HUMAN,412,7800,-0.0828347310727663,0.046591672814313964,0.09417427995229069,0.029085496970022336
AMIE_PSEAE,341,6227,-0.23831482986021718,-0.12439296104691336,-0.08621501000932043,-0.08554289660677349
ANCSZ,274,4670,0.021283655040566323,-0.1097941885830275,-0.07988932464506615,-0.07217088543384594
ARGR_ECOLI,69,1287,-0.01622258557200893,0.11324753148748126,0.1422216539167675,0.08487952259720269
BBC1_YEAST,64,1084,-0.1517642498829442,0.014333799098781392,-0.020012364875934406,0.006965205161746541
BCHB_CHLTE,52,890,-0.03620141312466145,0.1081773359173256,0.16615082533158296,0.0702152205656634
BLAT_ECOLX,263,15764,-0.06976106405197255,0.12535957180659055,0.09964725785793435,0.0858086050492335
BRCA1_HUMAN,326,1837,-0.005597598446361097,-0.03110440780145674,0.018606879978821933,-0.01884352188427822
BRCA2_HUMAN,53,265,0.21988832225726818,0.08535085775919267,-0.01144999697855962,0.06896552178454775
C6KNH7_9INFA,566,10754,-0.12635998488049305,-0.13409354708581722,-0.10992221500831444,-0.088010539631236
CALM1_HUMAN,148,1813,-0.17124860949956505,-0.12689695764940587,-0.10017898358809847,-0.0856853915545494
CAR11_HUMAN,141,4769,-0.07154897560330636,-0.1919210405543006,-0.1856493209791888,-0.13449552358923064
CAS9_STRP1,1368,8117,0.050413128084023956,0.03622516717003788,0.06208091995673484,0.02413675527241364
CASP3_HUMAN,257,1567,-0.030923884861744286,-0.08368130141623843,-0.11874086042649284,-0.05367270622714239
CASP7_HUMAN,280,1680,-0.019717088735995338,0.0020485961445067726,-0.07593745481622335,0.004815080826389037
CATR_CHLRE,72,1340,-0.41491747796599265,-0.05551848606589835,-0.08804495502370674,-0.03482684472843828
CBPA2_HUMAN,72,1357,-0.09214715250608126,-0.18665787706213527,0.016786185171235184,-0.12529369542508736
CBS_HUMAN,549,7217,-0.01511908191642602,-0.019738801390889526,-0.0012746454448622562,-0.012169526365279954
CBX4_HUMAN,50,917,-0.22339608170207015,0.08672685373042535,0.07409719562904005,0.06290851772706553
CCDB_ECOLI,100,2839,0.08086651268304346,0.1489153590636989,0.06923700084127007,0.10251748253679087
CCR5_HUMAN,323,6137,-0.17517436279827778,0.042850221685015163,0.03137613381903932,0.031219344775940842
CD19_HUMAN,272,3761,0.2160329838292716,-0.08692931125306462,0.07845466423163149,-0.05959779807057036
CP2C9_HUMAN,490,12512,-0.03871760804073084,-0.04479575429500267,-0.04092676277555457,-0.02910379801652079
CSN4_MOUSE,72,1353,-0.28516300242125897,0.19786951834203625,0.12380914116964725,0.13709371000621648
CUE1_YEAST,52,955,-0.22911908518874766,-0.23232086111368822,-0.015667356859375887,-0.1608155051665194
D7PM05_CLYGR,234,1169,-0.045698044278199845,-0.023404225019817777,0.025735093629967717,-0.016494654625903007
DLG4_HUMAN,84,1280,-0.031001630067702825,-0.25559639159345454,-0.34094705830499433,-0.17388809898079707
DLG4_RAT,83,1576,-0.05159394432985249,-0.3677170519701061,-0.3818959410648235,-0.2410701395650988
DN7A_SACS2,55,1008,-0.155486210094019,0.18575371131649737,0.011075235846604137,0.14146177966424262
DNJA1_HUMAN,65,1216,-0.28730646097061435,-0.26383592479639667,-0.2522973371800215,-0.18514066416394193
DOCK1_MOUSE,66,1213,0.09288100259370059,0.19908142070881746,0.24572025186061044,0.13685217718749088
DYR_ECOLI,158,5279,0.014141747595456569,0.025014280950095995,0.056431597144305234,0.014769983916994066
