DMS_id,UniProt_ID,rho_D_plddt,rho_Dsd_plddt,rho_De_plddt,D_lo_q,D_hi_q
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,-0.7999999999999999,-0.39999999999999997,-0.19999999999999998,0.7109242041056504,0.733495365336166
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,-0.7999999999999999,-1.0,-1.0,0.6454302325231986,0.6896759144578595
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,0.7999999999999999,1.0,0.7999999999999999,0.5357496539811128,0.576456792261266
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,0.7999999999999999,-0.7999999999999999,-0.19999999999999998,0.6519002087085859,0.7097553710606842
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,-0.39999999999999997,-0.39999999999999997,-0.7999999999999999,0.6417337432711155,0.6864145137010559
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,-0.39999999999999997,-0.39999999999999997,-0.19999999999999998,0.6371500387368257,0.6684213347656514
A4D664_9INFA_Soh_2019,A4D664_9INFA,-0.7999999999999999,-0.7999999999999999,-0.39999999999999997,0.7562293536629578,0.7739751879829603
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,-0.39999999999999997,0.39999999999999997,-0.7999999999999999,0.514869231970008,0.5918778173754065
A4_HUMAN_Seuma_2022,A4_HUMAN,0.7999999999999999,1.0,1.0,0.6205178403358469,0.7421391397534588
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,-0.19999999999999998,1.0,0.7999999999999999,0.538166635898359,0.5668621787260819
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997,0.5707441393246108,0.6330242649777028
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,-0.39999999999999997,0.39999999999999997,0.39999999999999997,0.49673191495550173,0.5253230644065157
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,0.39999999999999997,1.0,1.0,0.5843749413288788,0.7318244607158151
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,-0.39999999999999997,0.7999999999999999,0.7999999999999999,0.5349970614803612,0.6561812871377408
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,0.5956938869098415,0.6715794922542132
ANCSZ_Hobbs_2022,ANCSZ,-0.39999999999999997,-0.7999999999999999,-0.7999999999999999,0.5338384786132441,0.5493112242028806
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,0.19999999999999998,0.7999999999999999,0.7999999999999999,0.5415281044444672,0.5896860239643873
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,-0.19999999999999998,-0.7999999999999999,0.0,0.6224325471056664,0.8408363927150857
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,-0.39999999999999997,-0.6000000000000001,-0.7999999999999999,0.4819466264155514,0.6166960916459098
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,-0.39999999999999997,0.7999999999999999,-0.39999999999999997,0.5502759374696,0.6652655304913355
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,-0.19999999999999998,0.7999999999999999,0.7999999999999999,0.5643017025153438,0.6131693482060341
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,-0.19999999999999998,0.7999999999999999,0.7999999999999999,0.5664267071830031,0.6127768232612958
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,-0.39999999999999997,0.7999999999999999,1.0,0.5651808316709019,0.6032810400571629
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,-0.19999999999999998,0.7999999999999999,0.39999999999999997,0.5610083062819352,0.6111167753891078
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,0.19999999999999998,0.19999999999999998,-1.0,0.6260655852624498,0.664084686200909
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,0.7999999999999999,-0.39999999999999997,0.6000000000000001,0.682168803305044,0.7736737082666312
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,-0.39999999999999997,-0.19999999999999998,-1.0,0.6762342173887155,0.7447491412701804
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,-0.7999999999999999,-0.6000000000000001,-0.6000000000000001,0.5366195741271486,0.5704577068366261
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,-0.19999999999999998,1.0,-0.39999999999999997,0.7535322171738349,0.7773248350532378
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,-0.39999999999999997,-0.7999999999999999,-0.7999999999999999,0.6222991381825776,0.6591378679275881
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,-0.39999999999999997,-0.7999999999999999,-0.7999999999999999,0.6192531756738968,0.6521401957229084
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,0.6000000000000001,0.39999999999999997,0.7999999999999999,0.6668037776830832,0.6836895043075184
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,-0.39999999999999997,-1.0,-0.7999999999999999,0.5288498809356798,0.5624365399627661
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,-0.39999999999999997,-0.39999999999999997,0.0,0.5172137444256755,0.5389169115631538
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,-1.0,-1.0,-0.7999999999999999,0.500608156545469,0.5969810852241972
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,-0.39999999999999997,-0.19999999999999998,-0.7999999999999999,0.5690243002308749,0.6627421651056162
CBS_HUMAN_Sun_2020,CBS_HUMAN,-0.19999999999999998,0.0,0.0,0.5289951389207839,0.5506901803421638
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,-0.39999999999999997,0.7999999999999999,0.39999999999999997,0.5087842793442635,0.6739019960138604
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,0.0,0.6000000000000001,0.6000000000000001,0.5641318870522078,0.6383632294176363
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,0.6000000000000001,0.0,0.6000000000000001,0.5721204604538568,0.6237526365058883
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,-0.19999999999999998,0.19999999999999998,0.7999999999999999,0.5121332044025114,0.5639492518603203
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,1.0,0.7999999999999999,-1.0,0.6128481512043028,0.6610710400570317
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,-0.19999999999999998,-0.7999999999999999,0.0,0.5000286331015469,0.5317861545881536
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,0.7999999999999999,-1.0,-1.0,0.5073714048084781,0.5281971203172766
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,-0.39999999999999997,0.7999999999999999,1.0,0.5495532632304178,0.6784197149638467
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,-0.7999999999999999,-0.6000000000000001,-0.7999999999999999,0.5522488328155363,0.6512099640672686
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,-0.7999999999999999,0.0,-0.19999999999999998,0.6904454559528703,0.7365683774846777
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,-0.39999999999999997,-1.0,-1.0,0.5559442028957056,0.6076042383865667
DLG4_RAT_McLaughlin_2012,DLG4_RAT,-0.39999999999999997,-1.0,-1.0,0.5494151037937467,0.5932059707909638
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,-0.39999999999999997,0.19999999999999998,0.19999999999999998,0.5875693176884877,0.7274667640812278
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,-0.7999999999999999,-0.7999999999999999,-0.39999999999999997,0.46802915225037456,0.5860425232654559
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,0.39999999999999997,0.7999999999999999,0.39999999999999997,0.5127304868797854,0.5894207065070932
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,-0.19999999999999998,0.39999999999999997,0.19999999999999998,0.5417698108525537,0.5772450448874795
DYR_ECOLI_Thompson_2019,DYR_ECOLI,-0.19999999999999998,0.7999999999999999,0.7999999999999999,0.5461284013601682,0.589192967822156
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,-1.0,0.7999999999999999,0.39999999999999997,0.5476818169320277,0.6975271440940868
