UniProt_ID,D_evo_struct_helix,D_evo_struct_sheet,D_evo_struct_loop,D_evo_struct_core,D_evo_struct_surface,rho_D_evo_struct_contact,D_seq_struct_helix,D_seq_struct_sheet,D_seq_struct_loop,D_seq_struct_core,D_seq_struct_surface,rho_D_seq_struct_contact,D_std_helix,D_std_sheet,D_std_loop,D_std_core,D_std_surface,rho_D_std_contact
A0A140D2T1_ZIKV,0.5312383377709669,0.5033528687540233,0.5580866457110528,0.5070352945291147,0.5270233755015836,-0.034243762525159004,0.5231396468878867,0.5241917071769825,0.5354323020910235,0.5159938325738638,0.5356250991270307,-0.03673947151916415,0.7167624306347223,0.7394419176860202,0.7177246774161654,0.7201731362939586,0.7312617837662498,-0.05299984573257583
A0A192B1T2_9HIV1,0.798938655331189,0.5775592004444452,0.7165515561107824,0.6132679278504385,0.7534414029569259,-0.11574354438481528,0.682957498514492,0.549860428621709,0.594133048394085,0.5643630756615419,0.6206231575084152,-0.06487312253872267,0.6694107733346909,0.63649266422164,0.6628065721969667,0.6579147511810691,0.6488320299526729,0.019889004645547912
A0A1I9GEU1_NEIME,0.8411249324926002,0.5515235430359446,0.5264125971696134,0.5763985546743038,0.5817387592443595,-0.04387416241707893,0.7594042166937092,0.5175496782990774,0.43432524098113917,0.5516504081840548,0.5271714364065178,0.025270171229552798,0.557690797708382,0.5548740284325459,0.546496177340659,0.5486478209182255,0.551731934894673,-0.04396530617883512
A0A247D711_LISMN,0.5681859648095516,0.49592446362262566,0.5211919876725954,0.5431859404444732,0.5705332047278966,0.012665195302404952,0.5857555884161162,0.4929755465638216,0.6541835412677884,0.6294326203825524,0.6282776090235415,0.02428384633600854,0.703739310054812,0.6266037955101028,0.6693115963968661,0.7004177496661139,0.6626270427906142,0.08672097250053237
A0A2Z5U3Z0_9INFA,0.6288081118888025,0.5547342389850485,0.5968848642281311,0.5699939432149744,0.6257842878361706,-0.047738172785767426,0.5661563775170722,0.4972708293134009,0.5188729666556281,0.5459046832553135,0.49304221256022424,0.004682862163757723,0.6635922003868501,0.6608527326601007,0.6649495696713615,0.6942510335069281,0.6536829584224799,0.0897880397365851
A4D664_9INFA,0.660721057456692,0.6398113720944028,0.6263245563637616,0.6400271119781407,0.6411407655828447,-0.003094465206856633,0.5306149586574858,0.5681345410921111,0.5490663619965745,0.5981703416409732,0.4961269051648999,0.07694288374279212,0.7804577895623882,0.7653453491106532,0.7550978178873173,0.790719671120127,0.7490394243095593,0.10425295026919316
A4GRB6_PSEAI,0.4800285945739927,0.45805541785738035,0.5129830319478124,0.5043984277917751,0.4797107340608187,0.02689033336316132,0.42156980884236317,0.41880896198808426,0.48213169215439955,0.4942651113973362,0.3987819114074568,0.07747668857340387,0.5201669697989304,0.5117608761058908,0.5544438005953047,0.5521567740928875,0.5428423902455461,-0.020024150403374984
A4_HUMAN,0.7377625217521319,,0.40716916193658115,,0.40716916193658115,0.25608396669403033,0.6912140405600037,,0.38303789582145414,,0.38303789582145414,0.2527321570088211,0.7179912245832121,,0.6151776956996039,,0.6151776956996039,0.32520579485900564
AACC1_PSEAI,0.47030224766713025,0.5928962658132435,0.6070498212812463,0.5873699559993961,0.5528575550006217,0.027412785134610193,0.459143153820882,0.5567932766701749,0.5319145713864148,0.560708336135223,0.4610616330357695,0.07987718339235425,0.5247895650512848,0.5592069474065806,0.5766384732988948,0.5486432404777342,0.5808027741821759,-0.1102389085256786
ACE2_HUMAN,0.6313718522104991,0.6463483654088356,0.8247765260504649,0.6677487371166908,0.6383190781261514,0.02275962277452643,0.5251791484065695,0.5210660141425317,0.6173560390365134,0.5984910996405562,0.49393070066327727,0.07771216788464325,0.5952744205176415,0.6390490428333335,0.6241092194239339,0.6214591390034765,0.5791919623616635,0.1285062718880508
ADRB2_HUMAN,0.49680388460242564,,0.45656437472051936,0.5154753410462076,0.4342926598564879,0.06228715477162583,0.49266507346935695,,0.4173836574303721,0.5062502427269195,0.3989033928912084,0.10168084583243048,0.5012846133305108,,0.525369591808946,0.5028100507151689,0.5161294765176546,-0.06576943391146094
